brand_name,date,campaign_name,status,ad_set_name,ad_name,country,region,FB Spent Funnel (INR),spend_inr,clicks,impressions,page_likes,landing_page_views,link_clicks,adds_to_cart,checkouts_initiated,Adds of Payment Info,purchases,revenue_inr,website_contacts,Messaging Conversations Started,Adds to Cart Conversion Value (INR),Checkouts Initiated Conversion Value (INR),Adds of Payment Info Conversion Value (INR),CTR_calculated,CPM_calculated,CPC_calculated,ROI_calculated,ROAS_calculated
Brand A,1/2/2026,,PAUSED,TOF | LAL 3-5% | Sales | Womens,Custom | Video 2 | EOSS | 15th Dec 25 ï¿½ï¿½ï¿,India,India,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0
Brand A,1/3/2026,Growify | 11th June | TOF | ABO | INDIA | LAL 3% - 5% | SALES,PAUSED,TOF | LAL 3-5% | Sales | Womens,Custom | Video 2 | EOSS | 15th Dec 25 ï¿½ï¿½ï¿,India,India,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0
,1/20/2026,Growify | 11th June | TOF | ABO | INDIA | LAL 3% - 5% | SALES,PAUSED,,,India,India,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
Brand A,1/1/2026,Growify | 11th June | TOF | ABO | INDIA | LAL 3% - 5% | SALES,,TOF | LAL 3-5% | Sales | Womens,Custom | Video 2 | EOSS | 15th Dec 25 ï¿½ï¿½ï¿,India,India,0,0,0,0,0,0,0,6,0,0,0,0,,0,5964500,0,0,0,0,0,0,0
Brand A,1/11/2026,GROWIFY | 11TH JUNE | TOF | ABO | INDIA | LAL 3% - 5% | SALES,PAUSED,,Custom | Video 2 | EOSS | 15th Dec 25 ï¿½ï¿½ï¿,,India,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
Brand A,1/21/2026,Growify | 16th June | TOF | INDIA | ASC | CAC | SALES,PAUSED,TOF | ASC | CAC | INDIA,Custom | Carousel | EOSS | 15th Dec25 ï¿½ï¿½ï¿,India,India,0,0,0,0,0,0,0,,0,,,0,,0,0,0,,0,0,0,0,0
Brand A,1/22/2026,Growify | 16th June | TOF | INDIA | ASC | CAC | SALES,PAUSED,TOF | ASC | CAC | INDIA,Custom | Carousel | EOSS | 15th Dec25 ï¿½ï¿½ï¿,India,India,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0
Brand A,1/18/2026,Growify | 16th June | TOF | INDIA | ASC | CAC | SALES,PAUSED,,Custom | Carousel | EOSS | 15th Dec25 ï¿½ï¿½ï¿,,India,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
Brand A,1/19/2026,Growify | 16th June | TOF | INDIA | ASC | CAC | SALES,PAUSED,TOF | ASC | CAC | INDIA,Custom | Carousel | EOSS | 15th Dec25 ï¿½ï¿½ï¿,India,India,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
Brand A,1/17/2026,Growify | 16th June | TOF | INDIA | ASC | CAC | SALES,PAUSED,TOF | ASC | CAC | INDIA,Custom | Carousel | EOSS | 15th Dec25 ï¿½ï¿½ï¿,India,India,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0
Brand A,1/1/2026,Growify | 16th June | TOF | INDIA | ASC | CAC | SALES,PAUSED,tof | asc | cac | india,,India,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Brand A,,Growify | 16th June | TOF | INDIA | ASC | CAC | SALES,PAUSED,TOF | ASC | CAC | INDIA,Custom | Carousel | EOSS | 15th Dec25 ï¿½ï¿½ï¿,India,India,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
Brand A,1/1/2026,Growify | 23rd Sept | TOF | ABO | Sales,PAUSED,MARKET PLACES - TOF - SALES - GROWIFY,Custom | Catalog | 15th Dec 25,India,India,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Brand A,1/25/2026,Growify | 2nd December | ABO | Sale,PAUSED,TOF | Engaged shoppers| Sale | Women,Catalogue | Best Seller | In Stock,India,India,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,0,0,0,0,0
Brand A,1/21/2026,Growify | 2nd December | ABO | Sale,PAUSED,TOF | Engaged shoppers| Sale | Women,Catalogue | Set + Dress || Active | Instock,India,India,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0
Brand A,1/22/2026,Growify | 2nd December | ABO | Sale,PAUSED,TOF | Engaged shoppers| Sale | Women,Catalogue | Set + Dress || Active | Instock,India,India,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0
Brand A,1/25/2026,Growify | 2nd December | ABO | Sale,,TOF | Engaged shoppers| Sale | Women,Catalogue | Set + Dress || Active | Instock,India,India,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0
Brand A,1/2/2026,Growify | 2nd December | ABO | Sale,PAUSED,TOF | Engaged shoppers| Sale | Women,Catalogue | Set + Dress || Active | Instock,India,India,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0
Brand A,1/3/2026,Growify | 2nd December | ABO | Sale,PAUSED,TOF | Engaged shoppers| Sale | Women,Catalogue | Set + Dress || Active | Instock,India,India,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
Brand A,1/4/2026,Growify | 2nd December | ABO | Sale,PAUSED,TOF | Engaged shoppers| Sale | Women,Catalogue | Set + Dress || Active | Instock,India,India,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
Brand A,1/1/2026,Growify | 2nd December | ABO | Sale,PAUSED,TOF | ENGAGED SHOPPERS| SALE | WOMEN,Catalogue | Set + Dress || Active | Instock,India,India,0,0,0,0,0,0,0,-1,0,0,0,0,,0,5160,0,0,0,0,0,0,0
Brand A,1/17/2026,Growify | 2nd December | ABO | Sale,PAUSED,TOF | OPEN | Sale | Women,Catalogue | Price || 7k+ || Active | Instock,India,India,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,0,0,0,0,0
Brand A,1/17/2026,Growify | 4th October 25 | MOF | Sales | INDIA,PAUSED,,Custom | Video 1 | EOSS | 15th Dec 25 ï¿½ï¿½ï¿,India,India,,0,0,0,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0
Brand A,1/18/2026,Growify | 4th October 25 | MOF | Sales | INDIA,,mof | cd | sales - women,Custom | Video 1 | EOSS | 15th Dec 25 ï¿½ï¿½ï¿,India,India,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
Brand A,1/24/2026,Growify | 4th October | TOF | INDIA | Sales,PAUSED,TOF | OPEN | Sale | Women,Video | Karishma kapoor | 23rd October 25,India,India,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,,0,0,0,0,0
Brand A,1/25/2026,Growify | 4th October | TOF | INDIA | Sales,PAUSED,TOF | OPEN | Sale | Women,Video | Karishma kapoor | 23rd October 25,India,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0
Brand A,1/23/2026,Growify | 4th October | TOF | INDIA | Sales,PAUSED,TOF | OPEN | Sale | Women,Video | Karishma kapoor | 23rd October 25,India,,0,0,0,0,0,0,0,0,0,,82,,,0,0,0,,0,0,0,0,0
Brand A,1/22/2026,GROWIFY | 4TH OCTOBER | TOF | INDIA | SALES,PAUSED,TOF | Open | Sales | Women,Video | Karishma kapoor | 23rd October 25 ï¿½ï¿½ï¿,,,0,0,0,0,0,0,0,0,0,,,0,,0,0,,,0,0,0,0,0
Brand A,1/20/2026,Growify | 4th October | TOF | INDIA | Sales,PAUSED,TOF | Open | Sales | Women,Video | Karishma kapoor | 23rd October 25 ï¿½ï¿½ï¿,India,India,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
Brand A,,Growify | 4th October | TOF | INDIA | Sales,PAUSED,,Reel | also.alpa | 4th October 25,India,India,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0
Brand A,1/2/2026,Growify | 9th October 25 | MOF | Sales | Women,PAUSED,MOF | Whtsapp CD | Sales - Women,Custom | Video 1 | EOSS | 15th Dec 25 ï¿½ï¿½ï¿,India,India,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
Brand A,1/19/2026,Growify | 9th October 25 | MOF | Sales | Women,PAUSED,MOF | WHTSAPP CD | SALES - WOMEN,Custom | Video 1 | EOSS | 15th Dec 25 ï¿½ï¿½ï¿,India,India,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
Brand A,1/17/2026,Growify | 9th October 25 | MOF | Sales | Women,,MOF | Whtsapp CD | Sales - Women,Custom | Video 1 | EOSS | 15th Dec 25 ï¿½ï¿½ï¿,,India,0,0,0,0,0,0,0,3,0,,0,0,,0,,0,,0,0,0,0,0
Brand A,1/20/2026,Growify | 9th October 25 | MOF | Sales | Women,PAUSED,MOF | Whtsapp CD | Sales - Women,,India,India,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0
