brand_name,date,currency,sales_channel,transaction_timestamp,order_created_at,order_updated_at,order_id,order_name,country,region,billing_country,billing_province,billing_city,order_tags,product_id,product_title,product_tags,product_type,variant_title,gross_sales,net_sales,total_sales,orders,returns_inr,return_rate,items_sold,items_returned,avg_order_value,new_customer_orders,returning_customer_orders,avg_items_per_order,discounts_inr,sku,customer_sale_type,customer_id,shipping_country
Brand A,1/8/2026,INR,Online Store,2026-01-08 11:39:42+00:00,2026-01-08 11:39:43+00:00,2026-01-08 11:39:44+00:00,-6318230000000.00,,United Arab Emirates,Middle East,,Dubai,Dubai,,,,,,,0,0,0,0,0,0,,,,0,,,0,,First-time,9052170000000.00,
Brand A,,INR,Online Store,2026-01-13 06:25:45+00:00,2026-01-13 06:25:47+00:00,2026-01-13 06:25:48+00:00,6324090000000.00,#1053,United States,Usa,United States,New York,Richmond Hill,,,,,,,0,,0,0,0,,,,,0,,,0,,,996568100000000.00,United States
Brand A,1/19/2026,INR,Online Store,2026-01-19 16:16:58+00:00,2026-01-19 16:16:59+00:00,2026-01-19 16:17:00+00:00,6333300000000.00,#1055,United States,,United States,California,,,,,,,,0,0,0,0,0,,0,,,0,,,,,First-time,-997928800000000.00,United States
Brand A,1/29/2026,INR,Online Store,2026-01-29 15:56:31+00:00,2026-01-29 15:56:32+00:00,,6345630000000.00,#1057,United States,Usa,United States,Texas,Flower Mound,,,,,,,0,0,0,0,0,,,,,0,,,0,,First-time,1000255300000000.00,United States
Brand A,1/21/2026,INR,Online Store,,2026-01-21 17:02:59+00:00,2026-01-21 17:03:01+00:00,6335680000000.00,#1056,India,India,India,Kerala,Ernakulam,,,,,,,0,0,148.4614,0,0,,,,,0,,,0,,First-time,,India
Brand A,1/4/2026,INR,Online Store,2026-01-04 16:16:06+00:00,2026-01-04 16:16:08+00:00,2026-01-04 16:16:09+00:00,,#1049,India,India,India,Tamil Nadu,Chennai,,,,,,,0,0,150.260932,0,0,,0,,,0,,,0,,First-time,9046300000000.00,
Brand A,,INR,Online Store,2026-01-06 01:41:01+00:00,2026-01-06 01:41:03+00:00,2026-01-06 01:41:04+00:00,6315420000000.00,#1050,India,,India,,Mumbai,,,,,,,0,0,150.260932,0,0,,0,,,0,,,0,,First-time,9048400000000.00,India
Brand A,1/4/2026,INR,Online Store,,2026-01-04 04:40:13+00:00,2026-01-04 04:40:15+00:00,6313290000000.00,#1048,Singapore,Rest Of The World,Singapore,,Singapore,,,,,,,0,0,150.260932,0,0,,0,,,0,,,0,,First-time,9045700000000.00,India
Brand A,1/8/2026,INR,Online Store,2026-01-08 00:10:11+00:00,,,6317670000000.00,#1051,Canada,Rest Of The World,Canada,Alberta,Beaumont,,,,,,,0,0,,0,0,,0,0,,0,,,0,,First-time,8836460000000.00,Canada
Brand A,1/3/2026,inr,Online Store,2026-01-03 15:09:11+00:00,2026-01-03 15:09:12+00:00,2026-01-03 15:09:13+00:00,6312540000000.00,#1047,Spain,Rest Of The World,Spain,Vizcaya,Santurtzi,,,,,,,0,0,,0,0,,0,,,0,,,,,First-time,,Spain
Brand A,1/15/2026,INR,Online Store,2026-01-15 04:17:04+00:00,,2026-01-15 04:17:07+00:00,6326910000000.00,#1054,United States,Usa,United States,Illinois,Naperville,,,,,,,0,0,2699.298182,0,0,,0,,,0,,,0,,First-time,9062680000000.00,United States
Brand A,1/1/2026,INR,Online Store,2026-01-01 05:12:25+00:00,2026-01-01 05:12:27+00:00,,6309850000000.00,,Singapore,Rest Of The World,Singapore,,Singapore,,,Chï¿½ï¿½ï¿½ï¿½,"Co-ord, eoss-25, Floral, Linen, Top, Tunic",Kaftan,S / Kaftan & Pants,,3940.975346,3940.975346,1,0,0,,,3940.975346,1,,1,,CHERIEKAFTAN-S & EASYIV-S,First-time,9041380000000.00,Singapore
Brand A,1/8/2026,INR,,2026-01-08 00:10:11+00:00,2026-01-08 00:10:12+00:00,2026-01-08 00:10:13+00:00,827615000000000.00,#1051,Canada,,Canada,Alberta,Beaumont,,8.73E+12,Marigold Tunic,"co-ord, eoss-25, express shipping, kurta set, tunic",Co-ord,XL,4750.764801,4750.764801,4750.764801,0,0,0,1,,,0,,,0,,First-time,8836460000000.00,CANADA
Brand A,1/2/2026,INR,Online Store,2026-01-01 22:53:41+00:00,2026-01-01 22:53:42+00:00,2026-01-01 22:53:43+00:00,826689000000000.00,#1046,United States,Usa,United States,New Jersey,Middletown,,8.73E+12,Amelia Short Kurta Set,"co-ord, eoss-25, express shipping, kurta set, tunic",Co-ord,,,6478.315638,6478.315638,1,0,0,1,,6478.315638,90,,1,0,,first-time,9042390000000.00,India
Brand A,1/8/2026,,Online Store,2026-01-08 11:39:42+00:00,2026-01-08 11:39:43+00:00,2026-01-08 11:39:44+00:00,6318230000000.00,#1052,United Arab Emirates,Middle East,United Arab Emirates,Dubai,Dubai,,8.79E+12,Wildflower Kurta Set,"COLLECTION_ET SI, EXPRESS SHIPPING",Kurta Set,XL,6478.315638,6478.315638,6478.315638,144,0,0,55,,6478.315638,1,,0,0,WILD-LMN,First-time,9052170000000.00,United Arab Emirates
Brand A,1/13/2026,INR,Online Store,2026-01-13 06:25:45+00:00,2026-01-13 06:25:47+00:00,2026-01-13 06:25:48+00:00,828456000000000.00,#1053,United States,Usa,United States,New York,Richmond Hill,,8.84E+12,Ella Kurta Set,"Category_Kurta Set, Collection_Lumiere, Tag_NewArrival",Kurta Set,M,878171.6754,7198.128487,,,0,0,1,,,0,,,0,ELLA-BL,,9059710000000.00,United States
Brand A,,INR,Online Store,2026-01-01 22:53:41+00:00,2026-01-01 22:53:42+00:00,2026-01-01 22:53:43+00:00,6310600000000.00,#1046,United States,Usa,United States,New Jersey,,,8.73E+12,Amelia Long Kurta Set,"co-ord, eoss-25, express shipping, kurta set, tunic",co-ord,S,7414.072341,7414.072341,7414.072341,0,0,0,1,,,0,,,0,,First-time,994662900000000.00,India
Brand A,1/13/2026,INR,Online Store,2026-01-13 06:25:45+00:00,2026-01-13 06:25:47+00:00,2026-01-13 06:25:48+00:00,-6324090000000.00,#1053,United States,Usa,United States,New York,Richmond Hill,,,,,Co-ord,M,7630.016196,7630.016196,7630.016196,0,0,0,1,,,0,,,0,,First-time,9059710000000.00,United States
Brand A,,INR,Online Store,2026-01-04 16:16:06+00:00,2026-01-04 16:16:08+00:00,2026-01-04 16:16:09+00:00,6313700000000.00,,India,India,India,Tamil Nadu,Chennai,,8.79E+12,Viola Kurta Set,"Collection_Et Si, Express shipping",Kurta Set,XS / Kurta Set + Stole,8637.754184,8637.754184,8637.754184,,0,0,1,,8637.754184,1,,1,0,VIOLAKURTA-IV,,9046300000000.00,India
